,GeoName,GEOID,CO2limits,regulate,fundrenewables,TotalPop,Republicans.2016,Democrats.2016
1,"Butler County, Alabama",0500000US01013,65.924,71.535,78.304,14041,56.3154864709269,42.7864133563615
2,"Clarke County, Alabama",0500000US01025,62.839,70.263,77.406,17220,54.9551638837353,44.1558441558442
3,"Hale County, Alabama",0500000US01065,65.091,74.213,79.096,10365,39.6004993757803,59.5755305867665
4,"Apache County, Arizona",0500000US04001,59.42,71.562,81.19,42767,28.4849134465941,65.3625596227022
5,"Navajo County, Arizona",0500000US04017,62.265,70.693,80.906,66359,51.3005168177582,43.384450281002
6,"Cross County, Arkansas",0500000US05037,67.112,71.918,78.651,11910,66.6909514789451,29.0689202972461
7,"Howard County, Arkansas",0500000US05061,67.382,70.539,79.02,8980,67.5444230357525,28.9017341040462
8,"Elbert County, Colorado",0500000US08039,66.069,71.733,82.151,16257,73.5292242972783,19.4786155905411
9,"Fremont County, Colorado",0500000US08043,66.54,72.166,81.307,35756,68.8574040219378,24.1087751371115
10,"Prowers County, Colorado",0500000US08099,67.962,72.206,81.139,7851,70.4700683005223,23.5636801928485
11,"Routt County, Colorado",0500000US08107,64.939,71.906,83.588,16661,37.3874528027883,54.3639268080163
12,"Okeechobee County, Florida",0500000US12093,66.97,72.597,80.008,26727,68.5299295774648,28.9979460093897
13,"Baker County, Georgia",0500000US13007,60.824,71.793,78.654,2264,53.8194444444444,45.1388888888889
14,"Baldwin County, Georgia",0500000US13009,59.02,73.039,80.381,27826,47.8444790046656,49.5489891135303
15,"Burke County, Georgia",0500000US13033,64.297,72.674,79.546,14604,48.0320855614973,50.5882352941176
16,"Dooly County, Georgia",0500000US13093,63.814,71.625,78.985,10188,50.599582898853,48.4880083420229
17,"Early County, Georgia",0500000US13099,62.771,72.253,79.246,7053,53.3667921371811,45.2739439565036
18,"Hancock County, Georgia",0500000US13141,64.128,73.66,80.154,6470,23.5442329227324,75.447928331467
19,"Macon County, Georgia",0500000US13193,65.813,71.903,79.432,9835,35.9225565663634,63.097737345463
20,"Newton County, Georgia",0500000US13217,65.995,74.389,80.783,63841,47.7470482106561,50.0970607714619
21,"Twiggs County, Georgia",0500000US13289,63.643,74.174,79.508,6065,50.1850481125093,48.6059708857636
22,"Warren County, Georgia",0500000US13301,65.709,72.658,79.358,3855,42.4957118353345,56.303602058319
23,"Washington County, Georgia",0500000US13303,64.081,72.058,79.808,14183,49.1332225124673,49.7150320588934
24,"Wilkinson County, Georgia",0500000US13319,60.404,71.39,78.406,6432,54.5369504209542,44.2703461178672
25,"Boise County, Idaho",0500000US16015,66.521,72.241,82.903,5153,70.1206715634837,20.3830010493179
26,"Teton County, Idaho",0500000US16081,65.629,70.383,81.854,6574,43.515908175594,43.4353604510673
27,"Calhoun County, Illinois",0500000US17013,66.791,74.244,82.415,3620,67.2535211267606,28.9123630672926
28,"Menard County, Illinois",0500000US17129,66.852,73.822,82.645,8808,65.8570761326483,28.1488401058695
29,"Schuyler County, Illinois",0500000US17169,66.986,73.363,81.873,5439,66.5348101265823,28.3227848101266
30,"Porter County, Indiana",0500000US18127,64.692,73.783,82.524,111376,50.6183653192491,43.8359567013544
31,"Scott County, Indiana",0500000US18143,68.228,75.73,82.169,16233,67.0419426048565,29.1611479028698
32,"Adams County, Iowa",0500000US19003,66.461,73.794,82.538,2854,66.9068203650336,27.1373679154659
33,"Davis County, Iowa",0500000US19051,66.209,71.691,82.167,5528,70.5287713841369,25.2980819077242
34,"Keokuk County, Iowa",0500000US19107,66.071,73.706,82.723,7259,69.6788801976122,26.039522437217
35,"Muscatine County, Iowa",0500000US19139,64.219,71.133,79.931,28285,50.0314366551399,43.4035418631458
36,"Ringgold County, Iowa",0500000US19159,66.286,73.277,81.822,3554,67.8092399403875,28.0551415797317
37,"Taylor County, Iowa",0500000US19173,67.167,73.945,82.582,4438,70.1964701964702,25.1415251415251
38,"Johnson County, Kansas",0500000US20091,63.142,72.399,83.156,373547,47.8661533567111,45.1555479297809
39,"Bienville Parish, Louisiana",0500000US22013,65.441,70.99,78.58,9629,53.6188436830835,44.6680942184154
40,"Iberville Parish, Louisiana",0500000US22047,61.573,71.3,78.238,22822,45.6273764258555,51.8855575640466
41,"Madison Parish, Louisiana",0500000US22065,65.871,71.505,78.413,7834,40.7227387996619,57.9881656804734
42,"Morehouse Parish, Louisiana",0500000US22067,62.194,69.51,76.944,18255,54.8599392507594,43.4947688153898
43,"Red River Parish, Louisiana",0500000US22081,56.394,68.643,76.825,5861,54.0705563093623,43.8263229308005
44,"St. James Parish, Louisiana",0500000US22093,65.499,72.019,78.786,14421,45.1468762929251,53.1071576334299
45,"St. Landry Parish, Louisiana",0500000US22097,64.369,71.273,78.494,53562,54.9562171628722,43.0522892169127
46,"Gladwin County, Michigan",0500000US26051,66.403,73.926,81.301,18865,65.1379089159718,30.4201411161001
47,"Kalkaska County, Michigan",0500000US26079,66.85,74.516,81.815,12229,69.652466367713,25.5493273542601
48,"Ogemaw County, Michigan",0500000US26129,66.167,73.944,81.262,15722,65.7327171191989,29.1738879260543
49,"Tuscola County, Michigan",0500000US26157,66.147,74.026,81.522,38177,66.6016745039569,28.646251481439
50,"McLeod County, Minnesota",0500000US27085,68.584,74.254,83.105,24615,65.0556625990152,26.6431171055448
51,"Benton County, Mississippi",0500000US28009,59.492,70.797,77.131,5790,56.0560560560561,42.8678678678679
52,"Lowndes County, Mississippi",0500000US28087,64.484,72.373,79.532,38658,52.2057361072437,45.9246588965353
53,"Panola County, Mississippi",0500000US28107,63.247,71.589,78.152,22088,49.6229971724788,49.1450114447287
54,"Warren County, Mississippi",0500000US28149,65.952,74.489,80.67,31883,51.5120030622847,46.5795373762782
55,"Linn County, Missouri",0500000US29115,66.137,72.948,81.572,8568,73.2950466618808,22.2361809045226
56,"Morgan County, Missouri",0500000US29141,66.893,72.626,81.469,14527,76.6534316505956,20.0567214974475
57,"Worth County, Missouri",0500000US29227,66.777,72.705,82.009,1486,77.2466539196941,18.6424474187381
58,"Burt County, Nebraska",0500000US31021,66.343,73.579,82.209,4849,66.9883621913142,26.341186488788
59,"Sherman County, Nebraska",0500000US31163,66.661,73.217,82.052,2269,73.5994848679974,21.7643271088216
60,"Thurston County, Nebraska",0500000US31173,58.821,70.412,81.557,3770,49.9260719566289,44.8989650073928
61,"Ocean County, New Jersey",0500000US34029,69.305,76.978,82.41,401092,65.5270578446177,31.5283213658356
62,"Allegany County, New York",0500000US36003,67.726,75.667,81.781,30565,68.447197709076,26.1410788381743
63,"Fulton County, New York",0500000US36035,68.981,77.268,82.325,38758,65.220058273271,29.6733629811379
64,"Hamilton County, New York",0500000US36041,68.253,77.212,82.649,3674,66.7782738095238,27.9761904761905
65,"Lewis County, New York",0500000US36049,67.114,76.677,81.571,18449,67.0674941815361,27.4243599689682
66,"Steuben County, New York",0500000US36101,68.544,77.18,82.176,68326,65.387121152894,29.226278894014
67,"Burke County, North Carolina",0500000US37023,67.793,74.569,81.176,62736,68.3909878314469,29.0398002019236
68,"Macon County, North Carolina",0500000US37113,70.897,75.817,83.341,25266,69.4220119981541,27.9245500692201
69,"Martin County, North Carolina",0500000US37117,61.905,69.242,78.223,16956,49.5612554843064,49.0550118123523
70,"Onslow County, North Carolina",0500000US37133,68.399,72.39,81.172,96034,65.641933386316,30.9876454013438
71,"Hamilton County, Ohio",0500000US39061,65.666,74.378,82.062,534152,43.0308860759494,52.553670886076
72,"Lorain County, Ohio",0500000US39093,64.381,73.634,82.119,205720,47.8185783072577,47.5346495528854
73,"Montgomery County, Ohio",0500000US39113,64.765,74.72,80.887,362289,48.3915691617246,47.1473793877224
74,"Trumbull County, Ohio",0500000US39155,64.455,74.908,80.771,146281,51.1857812549828,44.784369585322
75,"Marshall County, Oklahoma",0500000US40095,68.811,71.415,80.766,10935,76.5810096591945,19.9562602515036
76,"Clinton County, Pennsylvania",0500000US42035,66.099,76.161,80.851,25099,65.3750252712447,30.5478805849451
77,"Barnwell County, South Carolina",0500000US45011,65.056,72.293,79.725,14482,51.5666209515772,46.3656503850617
78,"Calhoun County, South Carolina",0500000US45017,65.28,71.834,79.754,10716,50.1125380643453,47.2527472527472
79,"Colleton County, South Carolina",0500000US45029,65.52,72.419,79.776,25919,52.7131333062504,44.1994080436423
80,"Bon Homme County, South Dakota",0500000US46009,66.448,69.468,81.197,5133,70.7800941492939,23.6718224613315
81,"Clark County, South Dakota",0500000US46025,67.16,71.062,82.133,2521,68.7386843693422,24.019312009656
82,"Hand County, South Dakota",0500000US46059,66.769,72.544,82.006,2445,76.5126512651265,18.3718371837184
83,"Jackson County, South Dakota",0500000US46071,66.396,68.806,81.638,1825,65.9360730593607,29.4977168949772
84,"Jerauld County, South Dakota",0500000US46073,72.645,75.231,83.991,1480,67.0113753877973,27.3009307135471
85,"McCook County, South Dakota",0500000US46087,69.076,72.582,82.847,3818,69.3467336683417,24.0819482025512
86,"McPherson County, South Dakota",0500000US46089,66.165,69.134,80.855,1792,78.4520668425682,16.8865435356201
87,"Hardeman County, Tennessee",0500000US47069,63.733,71.731,77.89,18649,53.1486691192383,45.163384548799
88,"Haywood County, Tennessee",0500000US47075,65.894,73.873,79.381,12367,44.1090269636577,54.2790152403283
89,"Ellis County, Texas",0500000US48139,71.066,74.298,81.364,97120,71.0500443993404,25.6834327032856
90,"El Paso County, Texas",0500000US48141,64.465,69.874,77.926,488505,25.9277385511599,69.1392106738637
91,"Fort Bend County, Texas",0500000US48157,65.938,70.52,78.252,399073,45.0179938317836,51.6482503543076
92,"Kenedy County, Texas",0500000US48261,61.115,69.603,75.787,345,45.1612903225806,53.2258064516129
93,"Martin County, Texas",0500000US48317,69.648,73.37,80.957,3011,82.7920227920228,15.1566951566952
94,"Maverick County, Texas",0500000US48323,59.067,62.937,72.413,31380,20.7241683838681,76.516043567854
95,"Tarrant County, Texas",0500000US48439,65.454,70.573,79.113,1184855,52.1524307818572,43.4500748304246
96,"Bath County, Virginia",0500000US51017,67.725,75.325,82.931,3620,69.0147124386982,26.8836379848417
97,"Chesterfield County, Virginia",0500000US51041,65.678,74.021,82.967,213589,48.4562548491625,46.20567294966
98,"Floyd County, Virginia",0500000US51063,66.234,73.662,82.389,11258,66.3447064726543,28.8509784244857
99,"Franklin County, Virginia",0500000US51067,66.582,74.784,83.121,40264,69.2408132811043,27.0621152770006
100,"James City County, Virginia",0500000US51095,65.69,72.858,83.039,50134,49.8022790556193,44.6708940730515
101,"Warren County, Virginia",0500000US51187,68.035,74.604,83.117,26074,66.1120791411388,29.0315327974819
102,"Galax city, Virginia",0500000US51640,68.514,75.172,82.049,4996,67.8374947101143,28.7769784172662
103,"Manassas city, Virginia",0500000US51683,57.599,66.286,77.69,25239,39.0138067061144,55.1939513477975
104,"Columbia County, Washington",0500000US53013,67.44,72.29,81.571,2982,68.6780285582681,24.0902809765085
105,"Columbia County, Wisconsin",0500000US55021,63.191,74.109,83.402,39686,48.349096868918,46.1808993751494
106,"Marinette County, Wisconsin",0500000US55075,66.879,73.512,81.186,30073,65.0432954602332,31.2478102007107
