,County,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Total Population,GeoType,GEOID,GeoName,TotalPop,discuss,discussOppose,CO2limits,CO2limitsOppose,trustclimsciSST,trustclimsciSSTOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,fundrenewables,fundrenewablesOppose,mediaweekly,mediaweeklyOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmUS,harmUSOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose
0,"Lonoke County, Arkansas",73.69200577628023,20.876069167252933,0.6294664346280594,2.814085237160736,65890,County,5085,"Lonoke County, Arkansas",45334,27.136999999999997,72.79,59.357,39.757,63.506,34.718,67.83800000000001,32.137,57.945,41.269,76.223,23.526,,,59.967,19.980999999999998,43.626000000000005,38.388000000000005,38.429,36.785,46.601000000000006,53.26,32.25,56.606,48.648,41.56,54.082,34.005,62.476000000000006,26.421999999999997,62.589,26.179000000000002,42.648,57.413000000000004
1,"Monroe County, Arkansas",50.3959683225342,46.72426205903528,0.3239740820734341,1.2598992080633549,8377,County,5095,"Monroe County, Arkansas",5486,28.561999999999998,71.426,68.071,30.174,66.888,28.605999999999998,70.58,27.725,62.522,35.405,78.507,19.951,,,67.608,10.037,48.50899999999999,36.516,42.942,25.339000000000002,56.76,43.147,41.206,42.86600000000001,57.38399999999999,27.886,61.361999999999995,22.011,67.425,16.977999999999998,68.348,16.847,53.411,45.611000000000004
2,"Drew County, Arkansas",60.19726858877087,35.87253414264037,0.6525037936267072,1.6388467374810318,18604,County,5043,"Drew County, Arkansas",11739,29.405,70.597,65.751,33.031,66.583,30.272,69.908,29.189,61.681000000000004,36.922,78.672,20.438,,,65.834,13.071,47.656000000000006,36.56,42.986999999999995,29.057,53.461000000000006,46.43600000000001,37.97,48.317,54.802,32.724000000000004,59.458999999999996,26.096,66.1,20.207,66.715,20.04,49.586999999999996,49.916000000000004
3,"Madison County, Arkansas",72.00175721189049,23.239127251427732,0.7907453507102066,2.1086542685605507,15597,County,5087,"Madison County, Arkansas",10732,28.673000000000002,71.217,64.916,34.303000000000004,66.141,32.056,70.40899999999999,29.201,60.806999999999995,38.025999999999996,78.439,21.159000000000002,,,63.163999999999994,16.873,47.683,36.064,41.86,32.297,50.923,48.907,34.773,53.45399999999999,52.13,37.344,56.81100000000001,30.451999999999998,64.587,23.754,64.821,23.26,45.141999999999996,54.681000000000004
4,"Jasper County, Georgia",72.35704787234044,25.664893617021278,,1.9780585106382982,13744,County,13159,"Jasper County, Georgia",9208,27.114,72.95100000000001,55.864,43.107,64.372,33.874,68.612,30.418000000000003,58.217,40.618,78.423,20.483,,,61.043,15.544,44.24,38.47,37.625,31.264,48.736000000000004,51.558,35.814,50.638000000000005,51.84,36.277,53.294,29.851999999999997,59.93600000000001,24.701,57.79600000000001,27.465,45.211999999999996,54.181000000000004
5,"Eagle County, Colorado",36.05767104506656,55.95506611826102,1.5169607713060016,5.143514218743089,51405,County,8037,"Eagle County, Colorado",35583,42.3,57.591,74.816,24.07,73.464,24.147,74.76899999999999,24.473000000000003,68.861,29.908,84.60700000000001,14.372,,,75.592,10.128,57.998999999999995,28.846999999999998,57.254,26.087,63.364,36.641999999999996,41.648999999999994,51.978,61.817,31.961,67.267,23.919,74.675,16.814,74.029,18.362000000000002,53.641999999999996,45.934
6,"Dodge County, Georgia",71.77984274481773,26.247319513938532,,1.9728377412437452,20745,County,13091,"Dodge County, Georgia",14496,25.116999999999997,75.032,56.652,41.623000000000005,63.601000000000006,33.211,68.649,29.677,57.806999999999995,40.905,77.317,21.656,,,60.323,15.710999999999999,43.236000000000004,40.479,35.883,31.916999999999998,46.823,53.477,34.685,50.408,49.696000000000005,37.083,51.092,30.948,58.383,24.689,56.698,27.375999999999998,45.723,53.571000000000005
7,"Imperial County, California",27.05324423367105,68.18279801681398,1.520921654571148,2.546046801274221,167281,County,6025,"Imperial County, California",105988,34.047,65.682,72.461,25.145,70.178,24.9,75.497,21.764,68.428,28.883000000000003,81.01,17.154,,,74.6,7.597,60.201,28.804000000000002,50.306000000000004,21.646,69.111,30.587,51.495,35.439,66.383,21.545,69.857,16.738,75.079,12.331,74.404,13.463,58.744,40.251999999999995
8,"Clarke County, Georgia",28.699034395422988,66.74204563442709,,4.558919970149929,114913,County,13059,"Clarke County, Georgia",63733,36.232,64.123,73.608,25.232,75.444,21.837,76.38600000000001,22.084,69.988,29.017,84.425,14.495,,,74.97,8.077,57.167,30.456999999999997,55.368,22.633000000000003,63.228,37.124,43.656000000000006,44.861000000000004,62.173,27.96,65.91199999999999,20.669,72.054,14.709000000000001,70.658,17.029,57.592,41.876000000000005
9,"Yuma County, Colorado",80.51029159519727,15.030017152658663,0.3430531732418525,2.422813036020583,9836,County,8125,"Yuma County, Colorado",6697,35.963,63.678000000000004,61.501999999999995,37.584,61.856,36.454,66.712,32.996,56.701,41.773999999999994,79.329,19.212,,,64.46,16.757,46.163000000000004,36.453,42.841,33.598,51.386,48.473,37.452,55.597,54.625,38.465,57.456,31.31,65.462,24.75,64.779,26.059,45.705,53.802
10,"Prowers County, Colorado",70.4700683005223,23.56368019284853,0.6026516673362796,3.0936118923262352,12878,County,8099,"Prowers County, Colorado",7851,35.576,64.113,67.962,31.525,69.208,30.228,72.206,27.838,63.631,35.371,81.139,18.183,,,67.78,14.91,51.891999999999996,31.953000000000003,47.641000000000005,30.019000000000002,55.4,44.443999999999996,39.278,51.786,56.823,34.95,60.511,28.212,67.744,21.714000000000002,66.883,22.68,47.273999999999994,52.835
11,"Carroll County, Georgia",68.54197147037307,28.397037307973665,,3.0609912216532558,110584,County,13045,"Carroll County, Georgia",68808,26.831,73.324,53.552,45.003,65.41199999999999,33.227,69.834,29.188000000000002,59.015,39.564,78.888,20.155,,,62.633,16.131,44.826,38.241,36.923,32.353,48.801,51.513000000000005,35.035,51.67100000000001,51.355,36.91,53.248000000000005,30.326999999999998,62.428000000000004,23.248,60.107,26.279,44.144,55.453
12,"San Francisco County, California",9.442505372370276,85.53169356273695,2.4021681107050465,2.1941170834530994,801253,County,6075,"San Francisco County, California",647337,49.841,50.229,79.657,19.768,78.69,18.848,79.704,18.924,72.833,25.99,87.0,12.059000000000001,,,83.329,6.2829999999999995,65.941,20.741999999999997,68.09899999999999,20.214000000000002,72.334,27.497,49.725,44.17,69.689,25.215999999999998,75.633,17.340999999999998,80.935,12.352,81.185,12.675999999999998,62.643,37.283
13,"Wilkes County, Georgia",57.472035794183434,41.25279642058165,,1.2751677852348993,10442,County,13317,"Wilkes County, Georgia",7243,26.956999999999997,73.173,62.408,35.9,66.676,29.448,70.59,27.496,60.876999999999995,37.524,79.143,19.387,,,65.476,10.989,46.667,37.927,40.881,26.365,52.742,47.583,39.321999999999996,44.611000000000004,55.082,30.511999999999997,56.368,24.63,62.446000000000005,19.746,61.174,22.041999999999998,51.611999999999995,47.371
